id,xcoord(long),ycoord(lat),sampling date,sensing date,B2,B3,B4,B5,B6,B7,B8A,B11,B12,NDVI,BSI,C,S,SWHC,Sand (%),Silt (%),Clay (%),SOC,DSM
1,127.4844862,37.1540762,2022-7-26,2022-10-29,1929,2325,2793,3124,3434,3429,3635,4849,3928,0.130989421,0.157352718,,,0.7,68,30.5,1.6,0.71 ,-0.035867542
2,127.4852446,37.1545173,2022-7-26,2022-10-29,2298,2778,3347,3668,3849,3983,4165,5314,4385,0.108892439,0.145331923,,,0.75,75.2,23.6,1.2,0.86 ,-0.061689919
3,127.4861837,37.1552674,2022-7-26,2022-10-29,2219,2787,3469,3898,4111,4265,4303,5617,4448,0.107308286,0.164274731,,,0.8,63.8,33.5,2.7,0.87 ,-0.081699146
4,127.4828685,37.1539711,2022-7-26,2022-10-29,2171,2654,3191,3550,3702,3827,3951,5078,4200,0.10641277,0.149190466,,,1,77.8,17.6,4.7,1.00 ,-0.239936236
5,127.4812562,37.1576694,2022-7-26,2022-10-29,1790,2012,2292,2565,2807,3083,3344,4109,3290,0.186657204,0.109839619,,,0.7,81.1,16,2.9,0.84 ,0.292052481
6,127.489336,37.1402543,2022-7-26,2022-10-29,2533,3107,3838,4507,4335,4410,4543,6085,4712,0.08411884,0.16748044,,,0.7,68,30.3,1.7,1.07 ,-0.062182527
7,127.5011897,37.1504977,2022-7-26,2022-10-29,1661,1655,1643,1642,1690,1721,1835,2147,2011,0.05520414,0.040351359,,,0.65,66.2,32.5,1.4,0.47 ,0.193729696
8,127.5006666,37.1508839,2022-7-26,2022-10-29,1669,1689,1670,1666,1749,1765,1838,2186,2124,0.047890536,0.047399158,,,0.6,67.4,32.6,0,0.52 ,-0.087322189
10,127.5143499,37.14533637,2022-8-27,2022-10-29,1612,2015,2039,2704,3961,4181,4236,3400,2595,0.350119522,-0.036236378,23,37,0.621621622,29.1,70.9,0.0,0.30,0.213234127
11,127.5096228,37.14043306,2022-8-27,2022-10-29,2390,2941,3580,4010,4284,4454,4566,5809,4737,0.121041002,0.14885286,22,42,0.523809524,65.4,34.6,0.0,1.00,0.023430174
12,127.5100907,37.14023002,2022-8-27,2022-10-29,2376,2903,3516,3873,4066,4180,4296,5518,4478,0.09984639,0.150388387,38,46,0.826086957,54.3,45.7,0.0,1.54,-0.046699654
