id,xcoord(long),ycoord(lat),sampling date,sensing date,B2,B3,B4,B5,B6,B7,B8A,B11,B12,NDVI,BSI,C,S,SWHC,Sand (%),Silt (%),Clay (%),SOC,DSM
13,127.5115348,37.13953628,2022-8-27,2022-10-29,2431,3041,3720,4092,4201,4386,4417,5690,4583,0.085658105,0.157583959,16,37,0.432432432,37.3,62.7,0.0,0.90,-0.150485907
14,127.5135122,37.13302932,2022-8-27,2022-10-29,2737,3454,4236,4619,4733,4877,4872,6484,4811,0.069828722,0.169731027,16,40,0.4,36.0,57.6,6.4,1.46,0.059796027
15,127.5370585,37.11810618,2022-8-27,2022-10-29,1550,1932,1597,2495,5358,6122,6134,2984,1995,0.586858104,-0.252996331,22,44,0.5,17.1,82.9,0.0,0.81,-0.410279265
16,127.5376574,37.11763538,2022-8-27,2022-10-29,1725,2203,1935,2822,5442,6017,6074,3305,2283,0.516793607,-0.196257382,20,42,0.476190476,52.4,23.5,24.1,0.48,-0.219577538
17,127.5366973,37.11976759,2022-8-27,2022-10-29,4432,4769,5092,5425,5382,5442,5450,7181,6628,0.0339594,0.107921462,12,36,0.333333333,42.6,45.5,11.9,1.01,0.097270915
18,127.5361816,37.12031974,2022-8-27,2022-10-29,2717,3340,4063,4362,4409,4640,4724,6612,5032,0.075224764,0.178516229,20,25,0.8,37.8,53.5,8.7,1.28,0.107423312
19,127.5360454,37.1194835,2022-8-27,2022-10-29,2749,3403,4147,4518,4576,4741,4961,6689,5080,0.089371981,0.168553866,12,39,0.307692308,43.3,56.7,0.0,1.08,0.191770559
20,127.5230451,37.12571287,2022-8-27,2022-10-29,1792,2274,1988,2918,5022,5601,5639,3292,2422,0.478694113,-0.169223507,19,42,0.452380952,50.8,49.2,0.0,0.09,0.06376819
21,127.523421,37.125635,2022-8-27,2022-10-29,1815,2314,2026,2939,5234,5577,5675,3294,2376,0.473834567,-0.169398907,22,26,0.846153846,51.3,48.7,0.0,0.51,-0.083520612
22,127.5230682,37.12507878,2022-8-27,2022-10-29,1683,2108,1755,2628,5304,5936,5953,2903,1960,0.544628957,-0.242231983,19,40,0.475,44.5,55.5,0.0,0.30,-0.043740885
23,127.5237643,37.12612157,2022-8-27,2022-10-29,1626,1970,1650,2468,5565,6172,6236,2911,1859,0.581536901,-0.265716816,27,46,0.586956522,65.4,34.6,0.0,0.64,-0.113342927
24,127.5249595,37.12756278,2022-8-27,2022-10-29,1982,2370,2943,3181,3302,3475,3551,4552,3521,0.093624885,0.15059871,25,35,0.714285714,48.4,42.1,9.5,1.51,0.07287496
25,127.5239128,37.12716028,2022-8-27,2022-10-29,2360,2921,3681,4072,4226,4411,4505,5467,4197,0.100659663,0.142571661,18,28,0.642857143,35.5,53.6,11.0,1.26,0.072066665
26,127.524152,37.12687745,2022-8-27,2022-10-29,2355,2889,3583,3930,4200,4268,4330,5255,4034,0.094401618,0.138697417,20,30,0.666666667,37.5,46.1,16.4,1.61,-0.27800315
27,127.5243353,37.12714944,2022-8-27,2022-10-29,2215,2682,3286,3480,3603,3749,3869,4717,3697,0.081481481,0.136224888,15,30,0.5,36.9,56.5,6.7,1.39,0.125509022
28,127.5368047,37.12694073,2022-8-27,2022-10-29,1649,2017,1736,2591,5296,5918,5999,3228,2205,0.551131222,-0.212813194,27,46,0.586956522,48.9,51.1,0.0,0.51,-0.013581839
29,127.5368779,37.12666186,2022-8-27,2022-10-29,1588,1959,1640,2521,5315,6058,6086,3103,2106,0.575459487,-0.236047354,49,46,1.065217391,21.4,78.6,0.0,0.68,0.008053001
30,127.5364356,37.12718173,2022-8-27,2022-10-29,1619,1980,1782,2581,5200,5781,5837,3321,2293,0.532222076,-0.187355681,28,45,0.622222222,63.3,36.7,0.0,0.65,0.13174543
31,127.5370937,37.1274953,2022-8-27,2022-10-29,1494,1779,1502,2212,4553,5159,5249,2719,1806,0.555028885,-0.230025538,25,45,0.555555556,36.9,63.1,0.0,0.66,0.095917675
32,127.5380458,37.12706827,2022-8-27,2022-10-29,1539,1752,1709,2397,3677,4031,4345,3196,2345,0.435414602,-0.090740569,20,40,0.5,48.0,52.0,0.0,0.90,-0.389873342
33,127.5376091,37.12706339,2022-8-27,2022-10-29,1438,1580,1538,2261,3670,4108,4384,2905,2009,0.480580885,-0.13433999,25,40,0.625,59.5,40.5,0.0,1.27,-0.56052447
34,127.5380375,37.12736807,2022-8-27,2022-10-29,1611,1793,1815,2571,3855,4291,4558,3251,2347,0.43040954,-0.098175345,22,29,0.75862069,40.5,44.8,14.7,1.32,0.026018541
35,127.5239773,37.27107962,2022/10/15,2022-10-29,2043,2663,3608,4053,4211,4301,4380,5496,4437,0.096644967,0.172666967,14,30,0.466666667,16.55629139,83.44370861,0,1.00 ,0.060714424
36,127.5231857,37.27036738,2022/10/15,2022-10-29,2416,3162,3973,4553,4699,4791,4882,5886,4718,0.102653868,0.14926852,15,30,0.5,63.67924528,32.54716981,3.773584906,0.86 ,-0.071454184
37,127.5211756,37.26915175,2022/10/15,2022-10-29,2965,3716,4331,4813,4877,5020,5104,6288,5023,0.081928988,0.136451199,25,30,0.833333333,66.06498195,30.32490975,3.610108303,0.85 ,0.048590798
38,127.5203222,37.26949045,2022/10/15,2022-10-29,2265,2978,3906,4351,4542,4693,4673,5890,4666,0.089404359,0.170790008,17,30,0.566666667,45.2173913,54.7826087,0,1.08 ,0.151140422
39,127.5194183,37.27284545,2022/10/15,2022-10-29,2459,3120,3781,4336,4531,4706,4810,5708,4537,0.11977651,0.132474042,17,30,0.566666667,67.67241379,32.32758621,0,0.88 ,0.039133731
40,127.5188569,37.27338611,2022/10/15,2022-10-29,2524,3214,3587,4142,4464,4572,4634,5420,4072,0.127356769,0.114382926,18,30,0.6,63.83763838,36.16236162,0,0.69 ,0.156733299
41,127.5184789,37.27395303,2022/10/15,2022-10-29,2558,3227,3945,4429,4565,4721,4779,5801,4487,0.095598349,0.141017386,19,30,0.633333333,55.03355705,44.96644295,0,0.61 ,-0.286113764
42,127.5220381,37.26977395,2022/10/15,2022-10-29,2345,3166,3965,4487,4575,4840,4741,5903,4763,0.089133931,0.16409107,18,30,0.6,66.66666667,32.3024055,1.030927835,1.04 ,-0.059006083
43,127.5227096,37.26934572,2022/10/15,2022-10-29,2014,2612,3369,3753,3875,3952,4083,5140,4187,0.095813205,0.165137615,21,30,0.7,36.5,61,2.5,1.04 ,-0.038477214
44,127.523696,37.26914646,2022/10/15,2022-10-29,1999,2580,3514,3910,4058,4246,4192,5145,4249,0.08798339,0.166195286,19,30,0.633333333,32.69230769,67.30769231,0,0.96 ,0.238619379
45,127.5234968,37.26880228,2022/10/15,2022-10-29,1890,2458,3382,3722,3867,3988,3968,4946,3983,0.079727891,0.174115325,20,30,0.666666667,38.02816901,61.97183099,0,1.01 ,-0.159361836
46,127.5196223,37.26865667,2022/10/15,2022-10-29,2552,3410,4276,4747,4862,4993,5041,6168,5022,0.082107975,0.15806398,20,30,0.666666667,61.15485564,23.88451444,14.96062992,0.91 ,-0.096713492
47,127.5196544,37.2691177,2022/10/15,2022-10-29,2180,2861,3759,4194,4337,4464,4546,5707,4643,0.094762191,0.169219368,17,30,0.566666667,24.9589491,75.0410509,0,0.92 ,0.039691084
48,127.5202443,37.26804501,2022/10/15,2022-10-29,2357,2979,3717,4239,4416,4399,4655,5564,4732,0.112040134,0.13926226,17,30,0.566666667,59.11823647,34.26853707,6.613226453,1.03 ,-0.090099278
49,127.5189234,37.27063588,2022/10/15,2022-10-29,2612,3380,4097,4584,4802,4969,4897,6312,5304,0.088948188,0.161848421,19,30,0.633333333,73.51190476,23.51190476,2.976190476,0.99 ,-0.114559867
50,127.5194,37.27098335,2022/10/15,2022-10-29,2554,3247,3780,4461,4656,4857,4852,6156,5033,0.124189064,0.145888594,17,30,0.566666667,66.93548387,28.22580645,4.838709677,0.92 ,0.235377373
51,127.5200543,37.27125799,2022/10/15,2022-10-29,2583,3270,3787,4412,4609,4757,4843,5698,4725,0.122363847,0.121755071,20,30,0.666666667,59.92509363,34.082397,5.992509363,0.99 ,-0.126052713
52,127.520545,37.27174667,2022/10/15,2022-10-29,2370,3105,3785,4344,4578,4736,4846,5742,4676,0.122928977,0.138027833,19,30,0.633333333,58.82352941,41.17647059,0,1.02 ,-0.154782977
53,127.5210503,37.27205591,2022/10/15,2022-10-29,2317,2927,3484,4092,4378,4504,4688,5493,4357,0.147332354,0.123388812,15,30,0.5,59.74842767,37.42138365,2.830188679,1.06 ,0.112868861
54,127.5190066,37.27426701,2022/10/15,2022-10-29,2455,3065,3395,4136,4483,4662,4806,5498,4180,0.172052189,0.101027609,20,30,0.666666667,49.66216216,50.33783784,0,0.75 ,-0.086089221
55,127.5194053,37.27352122,2022/10/15,2022-10-29,2615,3248,3777,4318,4451,4579,4605,5534,4158,0.098783107,0.126489626,18,30,0.6,61.98830409,38.01169591,0,0.83 ,0.064014662
56,127.5200012,37.27318118,2022/10/15,2022-10-29,2277,2834,3256,3978,4294,4556,4740,5249,4139,0.185592796,0.095863935,10,26,0.384615385,65.99190283,28.74493927,5.263157895,0.76 ,0.001957251
57,127.5206332,37.272799,2022/10/15,2022-10-29,2259,2800,3164,3948,4420,4627,4798,5119,3908,0.205224818,0.079921773,19,30,0.633333333,60.76923077,33.84615385,5.384615385,0.79 ,0.00064691
58,127.4971552,37.20933846,2022/10/15,2022-10-29,2516,3119,3420,4124,4760,4822,5076,5682,4602,0.194915254,0.090451659,19,30,0.633333333,63.87959866,31.43812709,4.682274247,0.70 ,0.02505174
59,127.4966019,37.20942849,2022/10/15,2022-10-29,2212,2783,2773,3651,4662,4774,5017,5081,3827,0.288061617,0.04143738,18,30,0.6,72.80966767,21.45015106,5.740181269,1.70 ,-0.014276409
60,127.4966078,37.21005697,2022/10/15,2022-10-29,2364,2950,3621,3983,4178,4209,4341,5792,4713,0.09042954,0.168010919,21,30,0.7,68.45637584,26.84563758,4.697986577,0.70 ,-0.141292699
61,127.4963338,37.21014277,2022/10/15,2022-10-29,2592,3235,3975,4310,4354,4474,4691,6123,4980,0.08262174,0.16195846,30,30,1,67.73049645,28.0141844,4.255319149,0.93 ,0.015069935
62,127.4963364,37.21040069,2022/10/15,2022-10-29,2829,3512,4254,4695,4781,4854,4906,6400,5262,0.071179039,0.158736201,10,30,0.333333333,75.19685039,16.92913386,7.874015748,0.72 ,0.246495371
63,127.4973999,37.2087994,2022/10/15,2022-10-29,2364,2931,3622,3931,4062,4198,4250,5762,4394,0.079776423,0.173146643,18,30,0.6,66.07773852,28.26855124,5.653710247,0.72 ,-0.039043579
64,127.4966225,37.20879786,2022/10/15,2022-10-29,2601,3196,3876,4278,4321,4522,4468,6036,4524,0.070949185,0.167422413,19,30,0.633333333,70,26.08695652,3.913043478,0.47 ,0.045405464
65,127.4969555,37.20814686,2022/10/15,2022-10-29,1760,1946,2129,2417,2404,2478,2636,3503,2646,0.106400839,0.123254886,17,30,0.566666667,67.0995671,26.83982684,6.060606061,0.47 ,0.147885921
66,127.497328,37.20793023,2022/10/15,2022-10-29,1636,1746,1847,1897,1925,1981,2025,2228,1863,0.045971074,0.053516029,18,30,0.6,55.66666667,44.33333333,0,0.45 ,-0.168219444
67,127.4978908,37.20771431,2022/10/15,2022-10-29,1802,1993,2215,2449,2475,2609,2671,3464,2599,0.093327876,0.118794326,16,30,0.533333333,58.58208955,36.94029851,4.47761194,0.37 ,-0.152255539
68,127.4966595,37.21056977,2022/10/15,2022-10-29,2604,3275,4022,4376,4412,4566,4655,6273,4805,0.072951481,0.172952034,15,30,0.5,77.51937984,17.82945736,4.651162791,0.95 ,-0.09060327
69,127.4965835,37.21102923,2022/10/15,2022-10-29,2614,3282,4090,4513,4600,4816,4770,6383,5101,0.076749436,0.172985384,12,30,0.4,70.67669173,29.32330827,0,0.85 ,0.055105452
70,127.5006381,37.20846586,2022/10/15,2022-10-29,2760,3385,3759,4494,4601,4810,4882,5903,4694,0.12996181,0.116736015,15,30,0.5,70.11173184,29.88826816,0,0.10 ,-0.140020733
71,127.5003625,37.20828631,2022/10/15,2022-10-29,2437,3060,3718,4163,4380,4506,4633,5699,4601,0.109567716,0.142354582,17,30,0.566666667,49.65753425,50.34246575,0,0.44 ,0.147739296
72,127.5000275,37.20811586,2022/10/15,2022-10-29,2313,2941,3578,4196,4346,4457,4551,5596,4497,0.119694919,0.144032922,19,30,0.633333333,58.90804598,41.09195402,0,0.50 ,-0.042925534
73,127.4986231,37.20938549,2022/10/15,2022-10-29,2803,3426,3734,4431,4584,4820,4869,5893,4776,0.131930722,0.113012313,16,30,0.533333333,69.52595937,30.47404063,0,0.21 ,-0.173329348
74,127.499403,37.20872577,2022/10/15,2022-10-29,2813,3487,4011,4685,4856,5002,5061,6164,5095,0.115740741,0.127486287,20,30,0.666666667,60.61776062,39.38223938,0,0.46 ,0.10856215
75,127.4992095,37.20841631,2022/10/15,2022-10-29,2708,3329,3872,4545,4753,4870,5011,6065,4878,0.128222447,0.125623018,15,30,0.5,69.23076923,27.16346154,3.605769231,0.15 ,-0.039463199
76,127.492623,37.19835777,2022/10/15,2022-10-29,2581,3160,3697,4203,4353,4491,4651,5956,5053,0.114278869,0.1433817,16,30,0.533333333,63.66906475,31.29496403,5.035971223,0.74 ,0.063858787
77,127.4923922,37.19881469,2022/10/15,2022-10-29,2594,3337,3916,4471,4759,4822,5018,6297,5317,0.123349004,0.145918654,15,30,0.5,62.24188791,33.03834808,4.719764012,0.73 ,-0.164495062
78,127.4929809,37.19876169,2022/10/15,2022-10-29,2482,3065,3604,4082,4273,4367,4527,5820,4916,0.113516173,0.146960385,20,30,0.666666667,69.07514451,22.25433526,8.670520231,0.04 ,-0.004274082
79,127.4934023,37.19898994,2022/10/15,2022-10-29,2638,3198,3677,4162,4272,4479,4585,5858,4936,0.10990075,0.137963958,18,30,0.6,70.18348624,26.60550459,3.211009174,0.32 ,-0.058603916
80,127.4937298,37.19930977,2022/10/15,2022-10-29,2448,2963,3363,3957,4138,4379,4429,5624,4681,0.136806982,0.133005547,12,30,0.4,59.12162162,40.87837838,0,0.62 ,0.166672429
81,127.4945285,37.19922477,2022/10/15,2022-10-29,2749,3379,3899,4474,4716,4870,5096,6343,5248,0.13307393,0.132526124,11,30,0.366666667,80.88235294,12.86764706,6.25,0.38 ,-0.164656391
82,127.4952055,37.19881011,2022/10/15,2022-10-29,2733,3382,3844,4453,4679,4823,4993,6202,5242,0.130021501,0.130542426,16,30,0.533333333,64.35643564,31.18811881,4.455445545,0.58 ,-0.059312379
83,127.4958015,37.19808189,2022/10/15,2022-10-29,2809,3521,3988,4537,4739,4902,4996,6245,5135,0.112199466,0.134604723,16,30,0.533333333,74.20382166,25.79617834,0,0.23 ,0.023715004
84,127.4955048,37.19754543,2022/10/15,2022-10-29,2805,3490,4064,4606,4740,4915,5028,6489,5420,0.106027277,0.147938649,17,30,0.566666667,79.26421405,20.73578595,0,0.18 ,0.085647074
85,127.4946166,37.19732311,2022/10/15,2022-10-29,2521,3053,3539,4106,4455,4482,4763,5856,4902,0.147434353,0.126566341,18,30,0.6,85.21126761,11.26760563,3.521126761,0.68 ,0.059684076
86,127.4941847,37.19765634,2022/10/15,2022-10-29,2852,3525,3997,4660,4866,4961,5141,6409,5277,0.125191508,0.131148432,16,30,0.533333333,70.75471698,24.05660377,5.188679245,0.21 ,0.034924824
87,127.493451,37.19752011,2022/10/15,2022-10-29,2402,2972,3409,3933,4237,4477,4625,5688,4737,0.151356734,0.128380055,17,30,0.566666667,70.44534413,23.07692308,6.477732794,0.87 ,-0.119196926
88,127.3692737,37.22355058,2022/10/16,2022-10-29,2054,2484,2878,3196,3347,3505,3578,4304,3870,0.10842627,0.120961448,21,30,0.7,93.18996416,0,6.810035842,2.61 ,-0.057413458
89,127.3691897,37.22400529,2022/10/16,2022-10-29,2032,2418,2791,3165,3318,3446,3585,4250,3802,0.124529486,0.112498025,18,30,0.6,100,0,0,2.37 ,0.096265679
90,127.3686767,37.22373658,2022/10/16,2022-10-29,2006,2417,2814,3137,3297,3434,3573,4304,3876,0.118835134,0.121209735,21,30,0.7,93.5828877,0,6.417112299,3.68 ,0.014888633
91,127.368929,37.22405871,2022/10/16,2022-10-29,2027,2407,2756,3122,3377,3449,3649,4283,3924,0.139422326,0.107196225,18,30,0.6,95.35864979,0,4.641350211,3.22 ,0.114459515
92,127.3680074,37.22394158,2022/10/16,2022-10-29,2043,2483,2853,3178,3425,3555,3656,4255,3901,0.123367645,0.110017959,22,30,0.733333333,94.55252918,0,5.447470817,3.30 ,-0.239367937
93,127.3677431,37.22464125,2022/10/16,2022-10-29,1742,2025,2201,2852,2869,3013,3332,3633,3012,0.204409904,0.069673634,27,30,0.9,92.20779221,0,7.792207792,2.51 ,0.170191394
