,0
0,0.02356015064908528
1,0.013047244358548517
2,0.014896210053668322
3,0.0009545842633266373
4,0.0012999801318715066
5,0.001716864292464476
6,0.0031401748379728876
7,0.005066737588628997
8,0.00630234150923915
9,0.00423716584749038
10,0.007166363044811262
11,0.006415784871823767
12,0.008867315681898282
13,0.004387749247657175
14,0.010859851858364768
15,0.08053514257653786
16,0.2335472561565632
17,0.5409909319450843
18,0.03300815108496326
