id,xcoord(long),ycoord(lat),sampling date,sensing date,B2,B3,B4,B5,B6,B7,B8,B8A,B11,B12,NDVI,BSI,TVI,EVI,SATVI,SAVI,BI2,AVI,NDMI,SWHC,Sand (%),Silt (%),Clay (%),DSM,SOC
5,127.4812562,37.1576694,2022-7-26,2022-6-1,0.2894,0.3458,0.3980,0.3928,0.4175,0.4433,0.4836,0.4638,0.5442,0.48300,0.102186312,0.11010776,0.776006644,0.322847061,-0.241463908,0.153270362,0.227696513,-0.24697826,-0.079761905,0.7,0.811,0.16,0.029,0.903583342,0.84 
5,127.4812562,37.1576694,2022-7-26,2022-10-29,0.1836,0.2114,0.2412,0.2565,0.2807,0.3083,0.3349,0.3344,0.4109,0.32900,0.186657204,0.109839619,0.828647816,0.716230937,-0.164443236,0.279960969,0.150863235,-0.200494455,-0.102643231,0.7,0.811,0.16,0.029,0.903583342,0.84 
5,127.4812562,37.1576694,2022-7-26,2022-6-11,0.2902,0.3524,0.3990,0.4094,0.4347,0.4433,0.4753,0.4573,0.5314,0.47740,0.108740453,0.104354769,0.780218209,0.35908727,-0.238663564,0.163100794,0.224192995,-0.247030359,-0.0749469,0.7,0.811,0.16,0.029,0.903583342,0.84 
6,127.489336,37.1402543,2022-7-26,2022-6-1,0.3386,0.4152,0.5136,0.4769,0.5372,0.5739,0.6208,0.5826,0.6558,0.51340,0.118985883,0.111665254,0.786756559,0.302224607,-0.256664633,0.178470255,0.277340387,-0.32108889,-0.059108527,0.7,0.68,0.303,0.017,0.253684437,1.07 
6,127.489336,37.1402543,2022-7-26,2022-9-24,0.2892,0.3626,0.4408,0.4050,0.4372,0.4792,0.5375,0.4939,0.5744,0.42580,0.11855962,0.120856113,0.786485613,0.302618648,-0.212861565,0.177829361,0.236577603,-0.271987522,-0.075353365,0.7,0.68,0.303,0.017,0.253684437,1.07 
6,127.489336,37.1402543,2022-7-26,2022-10-19,0.2554,0.3098,0.3820,0.3695,0.3960,0.4118,0.4758,0.4291,0.5450,0.41750,0.093805761,0.149990422,0.770587932,0.233369269,-0.208707917,0.140699675,0.209300268,-0.223898534,-0.118981624,0.7,0.68,0.303,0.017,0.253684437,1.07 
6,127.489336,37.1402543,2022-7-26,2022-10-29,0.2620,0.3188,0.3958,0.4507,0.4335,0.4410,0.4824,0.4543,0.6085,0.47120,0.08411884,0.16748044,0.764276678,0.205551344,-0.235554716,0.126170733,0.223662797,-0.23076745,-0.145088446,0.7,0.68,0.303,0.017,0.253684437,1.07 
7,127.5011897,37.1504977,2022-7-26,2022-10-19,0.1457,0.1457,0.1487,0.1751,0.1818,0.1796,0.1633,0.1812,0.2450,0.22450,0.063068348,0.09010101,0.750378803,-1.535714286,-0.112207856,0.094588649,0.096170202,-0.085351242,-0.149694979,0.65,0.662,0.325,0.014,0.529636629,0.47 
8,127.5006666,37.1508839,2022-7-26,2022-9-24,0.1434,0.1484,0.1518,0.1995,0.2207,0.2174,0.1808,0.2155,0.2619,0.25380,0.07803902,0.074274708,0.760288774,1.447124304,-0.126865225,0.117043891,0.1112117,-0.107389997,-0.097193129,0.6,0.674,0.326,0,0.247752968,0.52 
10,127.5143499,37.14533637,2022-8-27,2022-6-1,0.2282,0.2970,0.3874,0.4191,0.4523,0.4758,0.4788,0.4662,0.5297,0.43140,0.074317318,0.140303624,0.757837263,0.145729779,-0.215672517,0.111469555,0.229328268,-0.22942561,-0.063761422,0.621621622,0.291262136,0.708737864,0,0.801471949,0.30
10,127.5143499,37.14533637,2022-8-27,2022-9-24,0.1784,0.2278,0.2936,0.3215,0.3429,0.3515,0.3546,0.3540,0.4190,0.32380,0.088728279,0.145763255,0.767286309,0.18325605,-0.161865698,0.133082187,0.172338662,-0.182216644,-0.084087969,0.621621622,0.291262136,0.708737864,0,0.801471949,0.30
10,127.5143499,37.14533637,2022-8-27,2022-6-11,0.2176,0.2914,0.3980,0.4326,0.4623,0.4678,0.4640,0.4761,0.5346,0.42230,0.079224753,0.144804089,0.761068166,0.144046491,-0.211122707,0.118830396,0.231906317,-0.238196906,-0.057880677,0.621621622,0.291262136,0.708737864,0,0.801471949,0.30
11,127.5096228,37.14043306,2022-8-27,2022-6-1,0.2616,0.3254,0.4066,0.4643,0.4939,0.5175,0.5251,0.5240,0.6247,0.51200,0.112290384,0.139594602,0.782489862,0.250047268,-0.255960403,0.168426638,0.249612188,-0.28512308,-0.087664316,0.523809524,0.653731343,0.346268657,0,0.357592906,1.00
