fid,xcoord,ycoord,B03_Green_,B02_Blue_4,B12_SWIR_2,B11_SWIR_1,B8A_VRE_86,B07_VRE_78,B06_VRE_74,B05_VRE_75,B04_Red_66,SOC %
1,365430.3669,4113029.805,1579,1066,3531,4336,3154,2892,3080,2617,2128,0.71
2,365491.2564,4113087.712,2017,1370,3735,4971,3240,3634,3326,3465,2868,0.86
3,365587.709,4113152.199,1962,1308,3649,4834,3329,3256,3166,3034,2748,0.87
4,365288.7694,4113029.785,1808,1175,3622,4861,3562,3420,3172,3025,2606,1
6,365834.5866,4111509.882,1892,1344,3653,5054,3300,3165,3041,2842,2541,1.07
7,366891.8773,4112647.814,1919,1254,3546,4703,3205,3260,3045,2813,2631,0.47
8,366851.6467,4112671.948,2138,1367,3967,5249,3640,3686,3481,3306,2944,0.52
