id,xcoord,ycoord,BSI_211024,B03_Green_,B02_Blue_4,B12_SWIR_2,B11_SWIR_1,B8A_VRE_86,B07_VRE_78,B06_VRE_74,B05_VRE_75,B04_Red_66
622586,362907.472,4131072.587,0.22958,1019,622,2063,3076,2425,2352,2169,2046,1787
818393,364327.472,4129352.587,0.19805,1316,864,2327,3298,2671,2537,2348,2231,1983
622585,362887.472,4131072.587,0.23077,989,613,2038,2963,2307,2297,2128,1984,1709
4779637,338887.472,4094532.587,0.23723,1034,638,2593,2969,2267,2214,2110,1974,1743
2585162,376187.472,4113832.587,0.19466,2267,1606,3621,5011,3797,3625,3488,3333,3004
3347339,370527.472,4107132.587,0.24284,642,523,1467,2062,1248,1141,1028,923,845
4221224,368547.472,4099452.587,0.2761,1138,762,2567,3454,2088,1980,1808,1738,1570
3347338,370507.472,4107132.587,0.23054,642,515,1501,2073,1299,1102,995,936,828
4221225,368567.472,4099452.587,0.29338,1140,746,2569,3505,2025,1980,1823,1727,1567
3051408,369507.472,4109732.587,0.22948,1952,1364,3465,4714,3231,3157,3020,2903,2618
3051407,369487.472,4109732.587,0.24233,1832,1279,3331,4675,3056,2974,2838,2690,2433
2605652,376307.472,4113652.587,0.19017,2405,1745,3717,5123,3889,3858,3683,3417,3157
3563660,372547.472,4105232.587,0.20482,2116,1491,3553,4669,3459,3379,3254,3117,2831
2605651,376287.472,4113652.587,0.20813,2030,1438,3431,4825,3470,3236,3219,3106,2663
3563659,372527.472,4105232.587,0.20434,2031,1452,3365,4634,3390,3327,3136,3041,2695
4564822,366987.472,4096432.587,0.24971,1343,867,2524,3772,2644,2615,2474,2394,2076
515652,363667.472,4132012.587,0.20271,822,522,1853,2319,1893,1753,1655,1516,1324
4564821,366967.472,4096432.587,0.25027,1337,849,2446,3739,2650,2610,2505,2373,2096
3051406,369467.472,4109732.587,0.23036,1822,1305,3309,4656,3142,3020,2820,2736,2453
1911315,373167.472,4119752.587,0.20021,1898,1325,3193,4271,3213,3116,2951,2827,2539
3565424,362307.472,4105212.587,0.23702,1727,1098,3336,4658,3494,3464,3324,3188,2787
3565423,362287.472,4105212.587,0.23864,1868,1160,3414,4801,3632,3658,3504,3374,2995
1911314,373147.472,4119752.587,0.20476,1975,1361,3247,4256,3181,3164,3005,2869,2625
3565426,362347.472,4105212.587,0.22517,1550,992,3116,4262,3280,3114,3039,2864,2493
4718154,338267.472,4095072.587,0.22495,946,661,2411,3136,2228,2002,1857,1671,1430
26896,375347.472,4136312.587,0.19396,1914,1362,3121,4251,3259,3148,3076,2929,2594
3565425,362327.472,4105212.587,0.23748,1534,990,3161,4335,3229,3220,3052,2873,2512
4718153,338247.472,4095072.587,0.24124,893,611,2294,3084,2138,1970,1776,1656,1413
26895,375327.472,4136312.587,0.19442,1970,1385,3070,4248,3237,3192,3091,2978,2605
2386860,370387.472,4115572.587,0.14148,1718,1241,2775,3883,3298,3079,2879,2468,2152
2386859,370367.472,4115572.587,0.17289,1788,1248,2878,4107,3268,3083,2999,2731,2297
2650660,366067.472,4113252.587,0.20934,2228,1574,3526,5106,3740,3596,3417,3351,3022
2650662,366107.472,4113252.587,0.20443,2355,1689,3787,5115,3812,3710,3560,3333,3213
2386856,370307.472,4115572.587,0.1717,1084,777,2185,3063,2407,2233,2067,1734,1441
2650661,366087.472,4113252.587,0.20607,2395,1721,3755,5234,3848,3720,3526,3435,3226
2990175,373887.472,4110272.587,0.2659,381,296,1312,1971,1112,987,824,631,457
3090388,375267.472,4109392.587,0.23677,1340,984,2878,3516,2262,2114,2030,1892,1744
2386858,370347.472,4115572.587,0.17679,1600,1115,2853,4055,3183,3009,2872,2585,2089
3090387,375247.472,4109392.587,0.24221,1331,946,2814,3662,2408,2405,2164,1992,1836
4423802,368827.472,4097672.587,0.20878,2015,1365,3417,4845,3628,3550,3342,3233,2783
2386857,370327.472,4115572.587,0.16586,1591,1142,2889,3898,3178,3008,2824,2608,2140
3090390,375307.472,4109392.587,0.24528,1092,810,2302,2987,1887,1737,1705,1604,1463
4423801,368807.472,4097672.587,0.20673,2055,1429,3470,4868,3640,3543,3368,3243,2843
3090389,375287.472,4109392.587,0.24653,1209,877,2664,3292,2106,1999,1909,1805,1643
3394484,357507.472,4106712.587,0.19852,1031,789,2538,3555,2574,2166,1982,1772,1474
3394486,357547.472,4106712.587,0.16764,1043,816,2430,3478,2749,2329,2064,1860,1523
3090386,375227.472,4109392.587,0.23272,1364,955,2579,3610,2459,2346,2167,2102,1875
3394485,357527.472,4106712.587,0.19345,1073,793,2520,3580,2653,2297,2048,1848,1519
3090385,375207.472,4109392.587,0.22999,1074,741,1979,3070,2150,1959,1840,1703,1548
3287739,362047.472,4107652.587,0.22871,1056,766,2453,3385,2264,2041,1798,1675,1442
2650664,366147.472,4113252.587,0.22186,1871,1280,3339,4676,3397,3218,3045,2904,2668
2650663,366127.472,4113252.587,0.21677,1909,1343,3540,4942,3533,3394,3145,3008,2633
2650666,366187.472,4113252.587,0.1842,1362,919,1873,3187,2571,2428,2261,2040,1879
2851456,376227.472,4111492.587,0.23045,1672,1105,2675,4229,3039,3020,2879,2702,2397
2650665,366167.472,4113252.587,0.20406,1642,1147,2711,4002,2935,2892,2660,2438,2173
3287738,362027.472,4107652.587,0.21625,1046,764,2465,3325,2293,2056,1810,1699,1419
2851457,376247.472,4111492.587,0.22038,1791,1218,2764,4303,3144,3137,3005,2851,2525
26894,375307.472,4136312.587,0.19488,1701,1182,2704,3855,2968,2935,2807,2732,2304
3394488,357587.472,4106712.587,0.15573,1033,774,2351,3415,2823,2369,2136,1858,1509
3394487,357567.472,4106712.587,0.15659,1049,793,2346,3381,2770,2350,2112,1862,1505
3394489,357607.472,4106712.587,0.16635,1141,841,2448,3595,2855,2399,2190,1948,1576
2990174,373867.472,4110272.587,0.24147,369,292,1221,1897,1142,940,818,590,450
2213606,364827.472,4117092.587,0.21607,1496,1015,3167,3937,2840,2629,2510,2344,2043
2990173,373847.472,4110272.587,0.25122,420,313,1336,2045,1216,1025,885,675,510
3584140,372467.472,4105052.587,0.2135,2030,1383,3576,4714,3465,3387,3211,3131,2766
3584139,372447.472,4105052.587,0.21895,1954,1343,3473,4658,3282,3153,3104,2934,2560
147616,377187.472,4135252.587,0.16504,2294,1611,3313,4397,3691,3560,3396,3361,3001
147615,377167.472,4135252.587,0.16426,2415,1738,3340,4526,3711,3670,3503,3390,3065
4262216,369027.472,4099092.587,0.19461,2053,1379,3282,4661,3465,3440,3240,3055,2524
4262215,369007.472,4099092.587,0.17328,2114,1476,3254,4633,3641,3514,3380,3199,2629
147617,377207.472,4135252.587,0.17833,2062,1402,3212,4232,3413,3336,3218,3052,2673
3584138,372427.472,4105052.587,0.21854,1924,1307,3377,4574,3220,3170,3030,2940,2485
3584137,372407.472,4105052.587,0.22095,1898,1281,3373,4547,3227,3207,3026,2897,2518
1913590,373147.472,4119732.587,0.20447,1968,1369,3169,4245,3156,3059,2925,2826,2606
3067504,372787.472,4109592.587,0.14973,2234,1562,2715,4095,3529,3504,3376,3234,2789
1913589,373127.472,4119732.587,0.21419,1866,1303,3112,4193,3039,3070,2862,2758,2516
3067503,372767.472,4109592.587,0.15299,2231,1559,2737,4193,3554,3567,3417,3244,2767
29171,375327.472,4136292.587,0.20578,1732,1176,2922,4074,3087,2984,2895,2723,2398
