,B03_Green_,B02_Blue_4,B12_SWIR_2,B11_SWIR_1,B8A_VRE_86,B07_VRE_78,B06_VRE_74,B05_VRE_75,B04_Red_66,outlier
314,3527.0,2987.0,5746.0,6355.0,5235.0,5105.0,4823.0,4473.0,4020.0,True
315,3529.0,2970.0,5763.0,6324.0,5184.0,5029.0,4764.0,4496.0,4016.0,True
316,3483.0,2976.0,5704.0,6368.0,5113.0,4958.0,4731.0,4438.0,3968.0,True
317,2753.0,2397.0,4052.0,4991.0,5188.0,5024.0,4551.0,3539.0,2940.0,False
318,2972.0,2592.0,4193.0,5139.0,5245.0,5050.0,4638.0,3717.0,3269.0,False
319,3033.0,2634.0,4561.0,5413.0,5202.0,4986.0,4654.0,3849.0,3377.0,True
320,3312.0,2802.0,5412.0,6033.0,4984.0,4865.0,4599.0,4195.0,3759.0,True
321,3091.0,2640.0,4419.0,5364.0,4977.0,4874.0,4548.0,3871.0,3469.0,True
322,3323.0,2851.0,5439.0,6153.0,5027.0,4895.0,4591.0,4189.0,3768.0,True
323,3354.0,2848.0,5462.0,6147.0,5028.0,4870.0,4609.0,4256.0,3789.0,True
324,3347.0,2835.0,5407.0,6100.0,4999.0,4880.0,4530.0,4234.0,3792.0,True
325,3335.0,2872.0,5324.0,5950.0,4933.0,4796.0,4513.0,4196.0,3774.0,True
326,3384.0,2886.0,5441.0,6102.0,4980.0,4843.0,4575.0,4228.0,3811.0,True
327,3412.0,2906.0,5527.0,6212.0,5101.0,4906.0,4636.0,4280.0,3868.0,True
328,3413.0,2885.0,5571.0,6279.0,5128.0,4930.0,4687.0,4333.0,3890.0,True
329,2875.0,2377.0,4401.0,5400.0,4980.0,4810.0,4392.0,3853.0,3413.0,True
330,3428.0,2895.0,5537.0,6274.0,5123.0,4975.0,4715.0,4389.0,3933.0,True
331,2957.0,2475.0,4425.0,5532.0,5112.0,4966.0,4602.0,3981.0,3527.0,True
332,3425.0,2875.0,5534.0,6249.0,5086.0,5015.0,4714.0,4384.0,3932.0,True
333,3074.0,2556.0,4499.0,5651.0,5073.0,5043.0,4604.0,4013.0,3665.0,True
334,2933.0,2459.0,4500.0,5657.0,5103.0,4893.0,4594.0,4049.0,3538.0,True
335,3059.0,2620.0,4381.0,5382.0,5275.0,5119.0,4771.0,3903.0,3381.0,True
336,3117.0,2666.0,4329.0,5359.0,5167.0,5113.0,4747.0,3922.0,3558.0,True
337,3131.0,2668.0,5515.0,6457.0,4872.0,4746.0,4481.0,4165.0,3744.0,False
338,3052.0,2588.0,4326.0,5441.0,5208.0,5043.0,4725.0,3901.0,3370.0,True
339,3220.0,2718.0,5574.0,6463.0,5020.0,4843.0,4573.0,4248.0,3807.0,False
340,3250.0,2790.0,4659.0,5799.0,5439.0,5334.0,4945.0,4230.0,3707.0,True
341,3079.0,2611.0,5456.0,6355.0,4784.0,4642.0,4404.0,4080.0,3656.0,False
342,3294.0,2867.0,4704.0,5862.0,5506.0,5400.0,4999.0,4283.0,3708.0,True
343,3078.0,2609.0,5424.0,6256.0,4787.0,4676.0,4341.0,4038.0,3671.0,False
344,2885.0,2511.0,5056.0,5718.0,4345.0,4138.0,3929.0,3628.0,3350.0,False
345,2551.0,2247.0,4582.0,5088.0,3982.0,3806.0,3538.0,3150.0,2840.0,True
346,2517.0,2254.0,4851.0,5232.0,3871.0,3696.0,3512.0,3234.0,2904.0,True
347,3211.0,2761.0,4656.0,5611.0,5114.0,5003.0,4614.0,4067.0,3664.0,False
348,2805.0,2326.0,4456.0,5470.0,4797.0,4729.0,4283.0,3795.0,3247.0,False
349,3367.0,2922.0,5267.0,5949.0,4839.0,4671.0,4431.0,4173.0,3790.0,True
350,3527.0,3008.0,5503.0,6139.0,5174.0,5002.0,4758.0,4453.0,3971.0,True
351,3501.0,3007.0,5503.0,6166.0,5108.0,4992.0,4722.0,4391.0,3969.0,True
352,3464.0,2981.0,5458.0,6130.0,5089.0,4927.0,4678.0,4323.0,3917.0,True
353,2411.0,2161.0,4357.0,4828.0,3640.0,3613.0,3305.0,2988.0,2660.0,False
354,3433.0,2944.0,5420.0,6064.0,5041.0,4873.0,4644.0,4303.0,3878.0,True
355,2868.0,2484.0,5105.0,5787.0,4504.0,4321.0,4010.0,3701.0,3378.0,False
356,3408.0,2940.0,5371.0,6030.0,4977.0,4861.0,4570.0,4280.0,3837.0,True
357,3052.0,2584.0,5387.0,6286.0,4851.0,4704.0,4381.0,4101.0,3644.0,False
358,3382.0,2891.0,5360.0,5993.0,4966.0,4855.0,4567.0,4230.0,3777.0,True
359,3352.0,2903.0,5362.0,5987.0,5045.0,4901.0,4624.0,4217.0,3770.0,True
360,3341.0,2899.0,5352.0,5990.0,5072.0,4916.0,4623.0,4227.0,3768.0,True
361,3310.0,2878.0,5333.0,5984.0,5011.0,4809.0,4539.0,4141.0,3724.0,True
362,3265.0,2848.0,5297.0,5941.0,4853.0,4681.0,4456.0,4080.0,3642.0,True
363,3211.0,2713.0,5029.0,6365.0,5100.0,4936.0,4538.0,4245.0,3800.0,False
364,3289.0,2849.0,5201.0,5890.0,4952.0,4793.0,4542.0,4146.0,3696.0,True
365,3268.0,2745.0,5063.0,6388.0,5089.0,5069.0,4646.0,4316.0,3863.0,False
366,3298.0,2828.0,5207.0,5787.0,4948.0,4789.0,4566.0,4215.0,3670.0,True
367,3116.0,2655.0,4621.0,5446.0,5228.0,5144.0,4758.0,4001.0,3581.0,True
368,3253.0,2765.0,4940.0,5866.0,5264.0,5113.0,4710.0,4151.0,3783.0,False
369,3035.0,2522.0,4507.0,5582.0,5222.0,5113.0,4734.0,4096.0,3617.0,True
370,3065.0,2634.0,4794.0,5693.0,5152.0,4992.0,4629.0,4048.0,3510.0,True
371,2951.0,2441.0,4467.0,5554.0,4950.0,4857.0,4496.0,3947.0,3562.0,True
372,3042.0,2611.0,4437.0,5402.0,5128.0,4950.0,4600.0,3795.0,3434.0,True
373,2916.0,2507.0,4996.0,6062.0,4697.0,4503.0,4298.0,3873.0,3303.0,False
374,2836.0,2357.0,4442.0,5502.0,4909.0,4740.0,4434.0,3948.0,3449.0,True
375,2883.0,2510.0,4220.0,5136.0,5284.0,5080.0,4627.0,3642.0,3108.0,False
376,2987.0,2554.0,5048.0,6112.0,4852.0,4690.0,4405.0,3977.0,3403.0,False
377,3204.0,2761.0,4536.0,5523.0,5308.0,5167.0,4782.0,3978.0,3577.0,True
378,3259.0,2802.0,4769.0,5692.0,5330.0,5142.0,4857.0,4166.0,3683.0,True
379,3364.0,2924.0,5470.0,6090.0,4882.0,4766.0,4521.0,4218.0,3762.0,True
380,3113.0,2643.0,4816.0,5634.0,5077.0,4923.0,4715.0,4129.0,3648.0,False
381,3378.0,2920.0,5536.0,6203.0,4941.0,4801.0,4554.0,4276.0,3834.0,True
382,3363.0,2772.0,5427.0,6527.0,5634.0,5466.0,5028.0,4462.0,4023.0,False
383,3397.0,2904.0,5579.0,6211.0,4970.0,4804.0,4550.0,4298.0,3832.0,True
384,3277.0,2762.0,5275.0,6325.0,5356.0,5211.0,4916.0,4334.0,3779.0,False
385,3418.0,2911.0,5575.0,6241.0,5019.0,4850.0,4575.0,4308.0,3875.0,True
386,3272.0,2761.0,5430.0,6362.0,5366.0,5162.0,4856.0,4493.0,3823.0,False
387,3446.0,2948.0,5582.0,6287.0,5085.0,4924.0,4672.0,4332.0,3924.0,True
388,3503.0,2979.0,5637.0,6330.0,5122.0,4992.0,4764.0,4432.0,4010.0,True
389,3550.0,3019.0,5659.0,6352.0,5187.0,5039.0,4836.0,4526.0,4066.0,True
390,3557.0,3007.0,5667.0,6361.0,5212.0,5070.0,4831.0,4520.0,4080.0,True
391,2871.0,2394.0,4534.0,5611.0,4588.0,4463.0,4162.0,3810.0,3402.0,False
392,3520.0,2980.0,5611.0,6259.0,5098.0,4987.0,4747.0,4437.0,4030.0,True
393,2861.0,2379.0,4620.0,5603.0,4547.0,4485.0,4159.0,3822.0,3421.0,False
394,3323.0,2866.0,5282.0,5994.0,4825.0,4693.0,4365.0,4205.0,3744.0,True
395,3139.0,2593.0,5013.0,6221.0,5276.0,4977.0,4641.0,4076.0,3579.0,False
396,2583.0,2270.0,3975.0,5163.0,4582.0,4443.0,4098.0,3295.0,2766.0,False
397,3022.0,2573.0,4201.0,5248.0,5632.0,5479.0,4948.0,3752.0,3254.0,False
398,3141.0,2697.0,4476.0,5505.0,5488.0,5279.0,4862.0,4054.0,3556.0,True
399,3146.0,2668.0,4597.0,5628.0,5290.0,5172.0,4823.0,4124.0,3687.0,True
400,3123.0,2685.0,5238.0,6311.0,5064.0,4890.0,4569.0,4041.0,3528.0,False
401,3210.0,2744.0,4690.0,5732.0,5316.0,5205.0,4856.0,4143.0,3696.0,True
402,3153.0,2727.0,5104.0,6191.0,5043.0,4832.0,4571.0,4168.0,3592.0,False
403,2456.0,2194.0,4619.0,5030.0,3775.0,3592.0,3355.0,3049.0,2787.0,True
404,3281.0,2825.0,4784.0,5796.0,5489.0,5418.0,4951.0,4230.0,3749.0,True
405,2440.0,2167.0,4646.0,5028.0,3704.0,3635.0,3298.0,2991.0,2745.0,True
