fid,xcoord,ycoord,B03_Green_,B02_Blue_4,B12_SWIR_2,B11_SWIR_1,B8A_VRE_86,B07_VRE_78,B06_VRE_74,B05_VRE_75,B04_Red_66,SOC %
1,365430.3669,4113029.805,2492,2219,4360,4926,3935,3857,3537,3074,2754,0.71
2,365491.2564,4113087.712,2717,2390,4945,5525,4214,4083,3797,3512,3106,0.86
3,365586.4927,4113166.799,2383,2105,4217,4775,3815,3636,3426,2960,2692,0.87
4,365288.7694,4113029.785,2630,2323,4751,5296,4080,3885,3645,3381,3032,1
5,365147.9844,4113445.019,2976,2600,4185,4973,4838,4740,4243,3396,3190,0.84
6,365834.5866,4111509.882,3129,2686,4765,5800,5086,4889,4464,3727,3449,1.07
7,366891.8773,4112647.814,2353,2284,2788,3030,3079,2949,2830,2582,2382,0.47
8,366851.6467,4112671.948,2275,2212,2614,2877,2855,2901,2848,2538,2286,0.52
